hour,weekday,event_type,file_type,high_value,files_touched,label
9,2,modify,csv,1,3,normal
9,1,modify,csv,1,3,normal
15,0,modify,txt,0,2,normal
9,3,modify,txt,0,3,normal
18,1,open,txt,0,1,normal
11,3,open,cfg,1,3,normal
14,1,modify,cfg,1,2,normal
15,3,open,txt,0,2,normal
10,4,modify,cfg,1,3,normal
13,1,modify,csv,1,1,normal
13,0,modify,txt,0,1,normal
13,3,open,txt,0,2,normal
11,2,open,csv,1,3,normal
17,2,modify,txt,0,1,normal
8,1,open,txt,0,3,normal
14,0,modify,txt,0,2,normal
8,4,open,txt,0,1,normal
16,3,modify,txt,0,2,normal
12,3,open,txt,0,1,normal
13,1,modify,cfg,1,1,normal
14,0,open,txt,0,1,normal
10,2,modify,txt,0,2,normal
10,4,open,csv,1,3,normal
13,2,modify,csv,1,2,normal
15,1,modify,cfg,1,3,normal
11,0,modify,cfg,1,1,normal
17,4,open,txt,0,2,normal
15,2,open,csv,1,1,normal
10,1,open,txt,0,1,normal
15,3,modify,txt,0,2,normal
12,0,open,txt,0,3,normal
16,4,open,txt,0,1,normal
15,1,open,txt,0,3,normal
9,0,modify,txt,0,1,normal
15,1,modify,txt,0,2,normal
18,0,open,txt,0,1,normal
12,1,open,txt,0,3,normal
9,1,modify,txt,0,2,normal
12,4,modify,txt,0,1,normal
9,1,open,txt,0,1,normal
16,3,modify,csv,1,2,normal
15,0,modify,csv,1,3,normal
18,2,modify,csv,1,3,normal
11,0,modify,txt,0,2,normal
12,4,open,cfg,1,1,normal
14,4,modify,txt,0,1,normal
10,3,open,cfg,1,2,normal
12,1,modify,txt,0,3,normal
10,4,open,txt,0,2,normal
15,2,open,txt,0,1,normal
13,2,open,csv,1,1,normal
14,0,modify,txt,0,2,normal
17,1,open,csv,1,1,normal
14,2,modify,cfg,1,3,normal
17,3,modify,txt,0,3,normal
14,2,modify,cfg,1,3,normal
15,0,open,cfg,1,1,normal
14,1,modify,txt,0,1,normal
10,1,open,txt,0,2,normal
15,4,modify,txt,0,1,normal
3,4,open,csv,1,5,suspicious
2,6,create,txt,1,6,suspicious
22,5,open,csv,1,8,suspicious
3,4,delete,csv,1,5,suspicious
2,4,open,txt,1,8,suspicious
0,4,delete,txt,1,6,suspicious
0,6,open,txt,1,6,suspicious
22,6,delete,csv,1,5,suspicious
23,5,create,txt,1,5,suspicious
1,5,delete,csv,1,5,suspicious
3,2,open,csv,1,8,suspicious
3,2,modify,txt,1,4,suspicious
3,1,modify,csv,1,5,suspicious
23,4,delete,txt,1,8,suspicious
22,6,create,csv,1,7,suspicious
23,1,delete,txt,1,5,suspicious
0,4,modify,txt,1,7,suspicious
2,1,open,csv,1,7,suspicious
3,5,delete,txt,1,6,suspicious
2,1,create,csv,1,8,suspicious
