hour,weekday,event_type,file_type,high_value,files_touched,label,prediction,prediction_label,anomaly_score
9,2,modify,csv,1,3,normal,1,normal,0.009716458996329669
9,1,modify,csv,1,3,normal,-1,anomalous,-0.000892816733330859
15,0,modify,txt,0,2,normal,1,normal,0.09033077775213394
9,3,modify,txt,0,3,normal,1,normal,0.008492654009699008
18,1,open,txt,0,1,normal,1,normal,0.03659404177879144
11,3,open,cfg,1,3,normal,-1,anomalous,-0.039795261627758705
14,1,modify,cfg,1,2,normal,1,normal,0.014531736020029551
15,3,open,txt,0,2,normal,1,normal,0.06872558136592105
10,4,modify,cfg,1,3,normal,-1,anomalous,-0.057912599572105705
13,1,modify,csv,1,1,normal,-1,anomalous,-0.01120462528785715
13,0,modify,txt,0,1,normal,1,normal,0.07059427901684684
13,3,open,txt,0,2,normal,1,normal,0.06900533895129968
11,2,open,csv,1,3,normal,-1,anomalous,-0.012971975925569312
17,2,modify,txt,0,1,normal,1,normal,0.020125657103292283
8,1,open,txt,0,3,normal,1,normal,0.007487402726095271
14,0,modify,txt,0,2,normal,1,normal,0.10218117113301689
8,4,open,txt,0,1,normal,1,normal,0.0013383509301395646
16,3,modify,txt,0,2,normal,1,normal,0.061924126328661566
12,3,open,txt,0,1,normal,1,normal,0.05400285736546717
13,1,modify,cfg,1,1,normal,-1,anomalous,-0.003465013562996111
14,0,open,txt,0,1,normal,1,normal,0.06628696169692044
10,2,modify,txt,0,2,normal,1,normal,0.06674107855413597
10,4,open,csv,1,3,normal,-1,anomalous,-0.049813559877576075
13,2,modify,csv,1,2,normal,1,normal,0.03162527434958107
15,1,modify,cfg,1,3,normal,1,normal,0.004141930279429884
11,0,modify,cfg,1,1,normal,-1,anomalous,-0.044486796150506214
17,4,open,txt,0,2,normal,1,normal,0.013723612113844985
15,2,open,csv,1,1,normal,1,normal,0.008720585604092501
10,1,open,txt,0,1,normal,1,normal,0.08502751659104252
15,3,modify,txt,0,2,normal,1,normal,0.0881250041588556
12,0,open,txt,0,3,normal,1,normal,0.01444239836283312
16,4,open,txt,0,1,normal,1,normal,0.036485486667714784
15,1,open,txt,0,3,normal,1,normal,0.0364065043493923
9,0,modify,txt,0,1,normal,1,normal,0.030284291640165883
15,1,modify,txt,0,2,normal,1,normal,0.10402333822445092
18,0,open,txt,0,1,normal,1,normal,0.01989040072615933
12,1,open,txt,0,3,normal,1,normal,0.06500093846080729
9,1,modify,txt,0,2,normal,1,normal,0.07268171477053231
12,4,modify,txt,0,1,normal,1,normal,0.028498862762145416
9,1,open,txt,0,1,normal,1,normal,0.07249029305570964
16,3,modify,csv,1,2,normal,-1,anomalous,-0.019355180173948328
15,0,modify,csv,1,3,normal,-1,anomalous,-0.026477265724990873
18,2,modify,csv,1,3,normal,-1,anomalous,-0.010433527942294019
11,0,modify,txt,0,2,normal,1,normal,0.07300899020834128
12,4,open,cfg,1,1,normal,-1,anomalous,-0.060886567523300794
14,4,modify,txt,0,1,normal,1,normal,0.053278287944830804
10,3,open,cfg,1,2,normal,-1,anomalous,-0.03636308603779903
12,1,modify,txt,0,3,normal,1,normal,0.037922351550099154
10,4,open,txt,0,2,normal,1,normal,0.04045067530458124
15,2,open,txt,0,1,normal,1,normal,0.07192694554303214
13,2,open,csv,1,1,normal,1,normal,0.007972588040609074
14,0,modify,txt,0,2,normal,1,normal,0.10218117113301689
17,1,open,csv,1,1,normal,-1,anomalous,-0.05045312874743535
14,2,modify,cfg,1,3,normal,1,normal,0.0364880102260865
17,3,modify,txt,0,3,normal,1,normal,0.000297605577777027
14,2,modify,cfg,1,3,normal,1,normal,0.0364880102260865
15,0,open,cfg,1,1,normal,-1,anomalous,-0.08049083031643611
14,1,modify,txt,0,1,normal,1,normal,0.07683133887975346
10,1,open,txt,0,2,normal,1,normal,0.07617271667728209
15,4,modify,txt,0,1,normal,1,normal,0.04675609664716296
3,4,open,csv,1,5,suspicious,-1,anomalous,-0.062403168456193536
2,6,create,txt,1,6,suspicious,-1,anomalous,-0.0284480563352133
22,5,open,csv,1,8,suspicious,-1,anomalous,-0.09327325117412222
3,4,delete,csv,1,5,suspicious,-1,anomalous,-0.05782134484450452
2,4,open,txt,1,8,suspicious,-1,anomalous,-0.032184116106310445
0,4,delete,txt,1,6,suspicious,-1,anomalous,-0.0284480563352133
0,6,open,txt,1,6,suspicious,-1,anomalous,-0.032184116106310445
22,6,delete,csv,1,5,suspicious,-1,anomalous,-0.07754186781052275
23,5,create,txt,1,5,suspicious,-1,anomalous,-0.04603553008667505
1,5,delete,csv,1,5,suspicious,-1,anomalous,-0.05782134484450452
3,2,open,csv,1,8,suspicious,-1,anomalous,-0.03277624419266301
3,2,modify,txt,1,4,suspicious,1,normal,0.00021773664897306588
3,1,modify,csv,1,5,suspicious,-1,anomalous,-0.007280475782493134
23,4,delete,txt,1,8,suspicious,-1,anomalous,-0.04603553008667505
22,6,create,csv,1,7,suspicious,-1,anomalous,-0.07754186781052275
23,1,delete,txt,1,5,suspicious,-1,anomalous,-0.03240997491952813
0,4,modify,txt,1,7,suspicious,-1,anomalous,-0.028760848960283414
2,1,open,csv,1,7,suspicious,-1,anomalous,-0.05755381444800878
3,5,delete,txt,1,6,suspicious,-1,anomalous,-0.0284480563352133
2,1,create,csv,1,8,suspicious,-1,anomalous,-0.03160760803454543
